,index,Unnamed: 0,Feature name,Coefficients,Original feature name,Score-Calc,Score-Preliminary,Final
28,28,28.0,initial_list_status:w,0.0530056094094273,initial_list_status,3.2393205720945084,3.0,3.0
29,29,29.0,term:36,0.0545799283639726,term,3.335531592650946,3.0,3.0
30,30,30.0,emp_length:1,0.1355930968826365,emp_length,8.286472187749416,8.0,8.0
31,31,31.0,emp_length:2-4,0.1683012460929772,emp_length,10.285358377205231,10.0,10.0
32,32,32.0,emp_length:5-6,0.1344466187429614,emp_length,8.216407712221557,8.0,8.0
33,33,33.0,emp_length:7-9,0.1060919011844314,emp_length,6.48357186849405,6.0,6.0
34,34,34.0,emp_length:10,0.1805576652966429,emp_length,11.034382325972194,11.0,11.0
35,35,35.0,mths_since_issue_d:38-39,-0.1936628329347301,mths_since_issue_d,-11.835275657900434,-12.0,-12.0
36,36,36.0,mths_since_issue_d:40-41,-0.2884942140709822,mths_since_issue_d,-17.630685751613296,-18.0,-18.0
37,37,37.0,mths_since_issue_d:42-48,-0.4889173382119912,mths_since_issue_d,-29.87910165300566,-30.0,-30.0
38,38,38.0,mths_since_issue_d:49-52,-0.6548909352349576,mths_since_issue_d,-40.022210905993454,-40.0,-40.0
39,39,39.0,mths_since_issue_d:53-64,-0.8952467451711058,mths_since_issue_d,-54.711024569743664,-55.0,-55.0
40,40,40.0,mths_since_issue_d:65-84,-1.1049510477620377,mths_since_issue_d,-67.52663916238942,-67.0,-67.0
41,41,41.0,mths_since_issue_d:>84,-1.03195347073596,mths_since_issue_d,-63.06555371109054,-63.0,-63.0
42,42,42.0,int_rate:<9.548,0.88852952551782,int_rate,54.30051654893981,54.0,54.0
43,43,43.0,int_rate:9.548-12.025,0.5477685780822624,int_rate,33.47566500033946,33.0,33.0
44,44,44.0,int_rate:12.025-15.74,0.2928302821555944,int_rate,17.89567496134001,18.0,18.0
45,45,45.0,int_rate:15.74-20.281,0.0981003207268283,int_rate,5.995184105985692,6.0,6.0
46,46,46.0,mths_since_earliest_cr_line:141-164,0.0581031429360547,mths_since_earliest_cr_line,3.550845057969182,4.0,4.0
47,47,47.0,mths_since_earliest_cr_line:165-247,0.0667979634693405,mths_since_earliest_cr_line,4.082209782155017,4.0,4.0
